Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
2/28/2017,82117,55116,MN,Minneapolis-St Paul,Ramsey,Saint Paul,2842,327400,0.007694675,0.028589381,0.10309973,0.096558293,0.016344507,2017-02,2017-Q1,327400,0,2017-02
2/28/2017,78286,46804,IN,Fort Wayne,Allen,Fort Wayne,2843,153300,0.013218771,0.046416382,0.01725282,0.025902389,0.007402946,2016-04,2016-Q2,153400,-0.00065189,2016-04
2/28/2017,73917,36535,AL,Daphne,Baldwin,Foley,2844,156600,0.001919386,0.013592233,0.037086093,0.048806378,-0.008758298,2006-09,2006-Q3,174500,-0.102578797,2005-11
2/28/2017,74655,38117,TN,Memphis,Shelby,Memphis,2845,152600,-0.002614379,0.001312336,0.025537634,0.037736413,0.005260452,2016-12,2016-Q4,153200,-0.003916449,2016-12
2/28/2017,87866,68116,NE,Omaha,Douglas,Omaha,2846,219400,0.004578755,0.019990702,0.052278177,0.044594196,0.019032815,2017-02,2017-Q1,219400,0,2017-02
2/28/2017,95830,89134,NV,Las Vegas,Clark,Las Vegas,2847,275500,0.004741065,0.015855457,0.071150855,0.112454652,-0.016478736,2006-04,2006-Q2,341300,-0.192792265,2004-04
2/28/2017,67322,22601,VA,Winchester,Frederick,Winchester,2848,220000,0.007326007,0.020408163,0.050620821,0.064039285,-0.014034754,2006-01,2006-Q1,268000,-0.179104478,2005-02
2/28/2017,98917,96782,HI,Urban Honolulu,Honolulu,Pearl City,2849,683900,0.007068178,0.017405534,0.091620112,0.060727395,0.021954165,2017-02,2017-Q1,683900,0,2017-02
2/28/2017,81640,54303,WI,Green Bay,Brown,Green Bay,2850,110100,0.007319305,0.018501388,0.050572519,0.024605165,0.003424196,2017-02,2017-Q1,110100,0,2017-02
2/28/2017,82223,55372,MN,Minneapolis-St Paul,Scott,Prior Lake,2851,332400,0.000903342,0.003017502,0.070531401,0.075126415,0.002408248,2017-02,2017-Q1,332400,0,2017-02
2/28/2017,77952,46074,IN,Indianapolis,Hamilton,Westfield,2852,248400,0.004042037,-0.000804505,-0.008383234,0.022358852,0.013233107,2016-01,2016-Q1,250700,-0.009174312,2015-12
2/28/2017,399637,78633,TX,Austin,Williamson,Georgetown,2853,301800,0.003324468,0.018562268,0.026530612,0.064688947,0.029436422,2017-02,2017-Q1,301800,0,2017-02
2/28/2017,98121,95340,CA,Merced,Merced,Merced,2854,221200,0.006827492,0.017947538,0.107661492,0.132574765,-0.031295864,2006-02,2006-Q1,360000,-0.385555556,2004-02
2/28/2017,62271,11801,NY,New York,Nassau,Hicksville,2855,432200,0.006052142,0.01958009,0.069537243,0.052775243,-0.001628084,2006-07,2006-Q3,455700,-0.051569015,2005-09
2/28/2017,97253,93422,CA,San Luis Obispo,San Luis Obispo,Atascadero,2856,484700,0,0.004559585,0.050954033,0.081696446,-0.001959326,2006-01,2006-Q1,542200,-0.106049428,2004-12
2/28/2017,93354,80302,CO,Boulder,Boulder,Boulder,2857,784300,0.003582853,0.02162303,0.137490935,0.103230584,0.047225902,2017-02,2017-Q1,784300,0,2017-02
2/28/2017,77623,45365,OH,Sidney,Shelby,Sidney,2858,115500,0.011383538,0.029411765,0.062557498,0.03089412,0.000869949,2006-08,2006-Q3,118200,-0.02284264,2006-05
2/28/2017,92524,78582,TX,Rio Grande City,Starr,Rio Grande City,2859,83100,0.003623188,0.022140221,0.087696335,0.018290869,,2017-02,2017-Q1,83100,0,2017-02
2/28/2017,66598,20745,MD,Washington,Prince Georges,Forest Heights,2860,229300,-0.00260983,-0.010358222,0.098180077,0.098886617,-0.02520962,2007-04,2007-Q2,297800,-0.230020148,2005-08
2/28/2017,78156,46516,IN,Elkhart,Elkhart,Elkhart,2861,83100,-0.001201923,-0.016568047,0.08627451,0.029950549,-0.015144382,2008-06,2008-Q2,101800,-0.183693517,2002-06
2/28/2017,92628,78717,TX,Austin,Travis,Austin,2862,326900,0.001838799,0.008639309,0.058271285,0.073969085,0.033689686,2017-02,2017-Q1,326900,0,2017-02
2/28/2017,71778,32086,FL,Jacksonville,Saint Johns,Saint Augustine,2863,207600,0.004354136,0.016650343,0.103081828,0.070457356,-0.011306307,2006-08,2006-Q3,239800,-0.134278565,2005-08
2/28/2017,62328,12010,NY,Amsterdam,Montgomery,Town of Amsterdam,2864,114700,0.013250883,0.047488584,0.056169429,0.01997511,-0.004423989,2008-03,2008-Q1,126000,-0.08968254,2006-10
2/28/2017,98373,95682,CA,Sacramento,El Dorado,Shingle Springs,2865,429300,0.012261259,0.03670611,0.086835443,0.113047452,-0.001981494,2005-12,2005-Q4,474300,-0.09487666,2005-02
2/28/2017,72669,33542,FL,Tampa,Pasco,Zephyrhills,2866,97100,-0.003080082,-0.006141249,0.125144844,0.085592096,-0.03169663,2006-11,2006-Q4,135000,-0.280740741,2005-01
2/28/2017,399735,97471,OR,Roseburg,Douglas,Roseburg,2867,196300,0.005635246,0.010293361,0.053111588,0.040315219,-0.006534243,2007-05,2007-Q2,211500,-0.071867612,2005-12
2/28/2017,84560,60527,IL,Chicago,Du Page,Burr Ridge,2868,343100,0.002044393,0.01418859,0.040327471,0.041632691,-0.018680162,2006-09,2006-Q3,417700,-0.178597079,2004-07
